cue,tar,corrAns,targOrientation,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,pracText1.started,pracText1.stopped,practInst2.started,practInst2.stopped,fixFuration,image.started,image.stopped,cues.started,cues.stopped,target.started,target.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixationshort.started,fixationshort.stopped,text.started,text.stopped,mainInst.started,mainInst.stopped,instResp.keys,instResp.rt,instResp.started,instResp.stopped,rest.started,rest.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/both.png,stim/congRight.png,left,180,,,,,0,0,0,0,0,18,18,13,,,,,0.4,128.98996229999466,None,129.38948329997947,129.4896504000062,129.8728094000253,None,left,1,0.40680200001224875,129.8728094000253,None,129.38948329997947,129.88955349999014,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congLeft.png,left,0,,,,,0,0,0,0,0,19,19,3,,,,,0.45,130.30557899997802,None,130.75938409997616,130.87189339997713,131.25527279998641,None,right,0,0.43057189998216927,131.25527279998641,None,130.75938409997616,131.27184180001495,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/neutralLeft.png,left,0,,,,,0,0,0,0,0,20,20,34,,,,,0.45,131.70397410000442,None,132.1592353999731,132.2708559000166,132.6538894000114,None,left,1,0.45418850000714883,132.6538894000114,None,132.1592353999731,132.67037690000143,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/neutralLeft.png,right,180,,,,,0,0,0,0,0,21,21,37,,,,,0.4,133.13661779998802,None,133.5413172999979,133.65287450002506,134.03595370001858,None,right,1,1.1174355000257492,134.03595370001858,None,133.5413172999979,134.05209379998269,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congLeft.png,right,180,,,,,0,0,0,0,0,22,22,7,,,,,0.55,135.17601039999863,None,135.73919019999448,135.85152590001235,136.2346066000173,None,right,1,0.5106355000170879,136.2346066000173,None,135.73919019999448,136.25078820000635,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/incongLeft.png,right,180,,,,,0,0,0,0,0,23,23,22,,,,,0.55,136.76785100001143,None,137.33726960001513,137.44994489999954,137.83285130001605,None,right,1,0.5301609999733046,137.83285130001605,None,137.33726960001513,137.84919159999117,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congRight.png,right,0,,,,,0,0,0,0,0,24,24,11,,,,,0.45,138.38230110000586,None,138.83873570000287,138.94826600002125,139.31526439997833,None,right,1,0.5313372000236996,139.31526439997833,None,138.83873570000287,139.34801399998832,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/incongLeft.png,left,0,,,,,0,0,0,0,0,25,25,17,,,,,0.45,139.86572379997233,None,140.3354546999908,140.44724299997324,140.8306427000207,None,right,0,0.48636270000133663,140.8306427000207,None,140.3354546999908,140.84714700002223,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/congLeft.png,left,0,,,,,0,0,0,0,0,26,26,1,,,,,0.45,141.34608260000823,None,141.80089910002425,141.91260209999746,142.29591759998584,None,left,1,0.5269101000158116,142.29591759998584,None,141.80089910002425,142.3123701000004,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/neutralRight.png,right,0,,,,,0,0,0,0,0,27,27,41,,,,,0.4,142.8470935000223,None,143.2643693999853,143.37812349997694,143.76134760002606,None,right,1,0.5610137000330724,143.76134760002606,None,143.2643693999853,143.7777828000253,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/lower.png,stim/congRight.png,left,180,,,,,0,0,0,0,0,28,28,12,,,,,0.4,144.3462787999888,None,144.76316079997923,144.87646900000982,145.2604916000273,None,left,1,0.45777719997568056,145.2604916000273,None,144.76316079997923,145.27702229999704,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/incongLeft.png,left,0,,,,,0,0,0,0,0,29,29,19,,,,,0.45,145.74349760002224,None,146.1951997000142,146.30916339997202,146.69232769997325,None,left,1,0.5076584999915212,146.69232769997325,None,146.1951997000142,146.7087628999725,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/congLeft.png,left,0,,,,,0,0,0,0,0,30,30,2,,,,,0.55,147.22462779999478,None,147.7747282999917,147.87429579999298,148.25769930001115,None,left,1,0.3764067000010982,148.25769930001115,None,147.7747282999917,148.27412349998485,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/neutralRight.png,left,180,,,,,0,0,0,0,0,31,31,47,,,,,0.5,148.65798830002313,None,149.1655741999857,149.27338969998527,149.6560090999701,None,left,1,0.46781770000234246,149.6560090999701,None,149.1655741999857,149.67299589997856,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/congRight.png,right,0,,,,,0,0,0,0,0,32,32,9,,,,,0.4,150.1416985000251,None,150.5596221999731,150.67227520002052,151.05561590002617,None,right,1,0.453646200010553,151.05561590002617,None,150.5596221999731,151.07190789998276,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/neutralRight.png,right,0,,,,,0,0,0,0,0,33,33,42,,,,,0.55,151.53808339999523,None,152.08838079997804,152.18777279998176,152.57073999999557,None,right,1,0.41955789999337867,152.57073999999557,None,152.08838079997804,152.58752320002532,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/both.png,stim/incongRight.png,right,0,,,,,0,0,0,0,0,34,34,25,,,,,0.55,153.02016820001882,None,153.5739054000005,153.686541699979,154.0698243000079,None,right,1,0.5349326000432484,154.0698243000079,None,153.5739054000005,154.0861343999859,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/neutralRight.png,left,180,,,,,0,0,0,0,0,35,35,46,,,,,0.4,154.6362401000224,None,155.0390573000186,155.15191600000253,155.5350820000167,None,left,1,0.3594992000143975,155.5350820000167,None,155.0390573000186,155.55165199999465,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/congRight.png,left,180,,,,,0,0,0,0,0,36,36,15,,,,,0.45,155.91817040002206,None,156.3718159000273,156.48404060001485,156.86683419998735,None,left,1,0.38996030000271276,156.86683419998735,None,156.3718159000273,156.88327699998626,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/blank.png,stim/neutralRight.png,right,0,,,,,0,0,0,0,0,37,37,43,,,,,0.45,157.28331600001547,None,157.73724849999417,157.84951859997818,158.23279819998425,None,right,1,0.35308739996980876,158.23279819998425,None,157.73724849999417,158.2492343999911,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/upper.png,stim/neutralRight.png,right,0,,,,,0,0,0,0,0,38,38,40,,,,,0.45,158.61557740002172,None,159.06921129999682,159.18194580002455,159.56501080002636,None,right,1,0.36987489997409284,159.56501080002636,None,159.06921129999682,159.58197860000655,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/upper.png,stim/neutralLeft.png,left,0,,,,,0,0,0,0,0,39,39,32,,,,,0.5,159.96453539998038,None,160.46637340000598,160.58068409998668,160.96390089998022,None,right,0,0.4069949999684468,160.96390089998022,None,160.46637340000598,160.9805038999766,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/centre.png,stim/congLeft.png,right,180,,,,,0,0,0,0,0,40,40,6,,,,,0.45,161.396625399997,None,161.85128250002163,161.96289540000726,162.34605220000958,None,right,1,0.46078240004135296,162.34605220000958,None,161.85128250002163,162.3625475000008,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
stim/upper.png,stim/incongRight.png,right,0,,,,,0,0,0,0,0,41,41,24,,,,,0.5,162.83493740000995,None,163.35130460001528,163.46165399998426,163.84508110000752,None,left,0,0.38213369995355606,163.84508110000752,None,163.35130460001528,163.86173409997718,,,,,,,,,,,mdm0923,001,2020_Jul_09_1554,ANT,2020.1.3,60.14614310501687,
